job_no,job_type,category
Id-1,Permanent,Data Management and Statistics
Id-2,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-4,Permanent,Science
Id-6,Permanent,Pharmaceutical Marketing
Id-7,Permanent,Clinical Research
Id-8,Permanent,Clinical Research
Id-15,Permanent,Pharmaceutical Marketing
Id-17,Permanent,Clinical Research
Id-20,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-25,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-26,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-28,Permanent,Pharmaceutical Marketing
Id-29,Permanent,Quality-assurance
Id-30,Contract/Interim,Pharmaceutical Marketing
Id-31,Permanent,Medical Information and Pharmacovigilance
Id-32,Permanent,Science
Id-34,Permanent,Data Management and Statistics
Id-35,Permanent,Science
Id-38,Permanent,Science
Id-41,Permanent,Science
Id-46,Permanent,Clinical Research
Id-47,Permanent,Clinical Research
Id-49,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-50,Permanent,Science
Id-53,Permanent,Manufacturing & Operations
Id-54,Permanent,Regulatory Affairs
Id-62,Contract/Interim,Quality-assurance
Id-63,Permanent,Quality-assurance
Id-64,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-65,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-70,Contract/Interim,"Pharmaceutical, Healthcare and Medical Sales"
Id-73,Permanent,Clinical Research
Id-77,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-78,Permanent,Data Management and Statistics
Id-80,Permanent,Pharmaceutical Marketing
Id-83,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-84,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-85,Permanent,Science
Id-88,Permanent,Manufacturing & Operations
Id-89,Permanent,Pharmaceutical Marketing
Id-91,Permanent,Clinical Research
Id-92,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-95,Permanent,Pharmaceutical Marketing
Id-97,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-102,Permanent,Quality-assurance
Id-103,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-104,Contract/Interim,Quality-assurance
Id-107,Permanent,Clinical Research
Id-109,Permanent,Regulatory Affairs
Id-116,Permanent,Clinical Research
Id-120,Permanent,Manufacturing & Operations
Id-121,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-122,Permanent,Pharmaceutical Marketing
Id-125,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-127,Permanent,Manufacturing & Operations
Id-134,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-135,Permanent,Regulatory Affairs
Id-136,Permanent,Science
Id-147,Permanent,Quality-assurance
Id-148,Contract/Interim,Regulatory Affairs
Id-150,Permanent,Science
Id-156,Permanent,Clinical Research
Id-157,Permanent,Clinical Research
Id-161,Permanent,Data Management and Statistics
Id-163,Permanent,Science
Id-164,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-170,Permanent,Science
Id-172,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-177,Permanent,Pharmaceutical Marketing
Id-178,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-179,Contract/Interim,"Pharmaceutical, Healthcare and Medical Sales"
Id-180,Permanent,Clinical Research
Id-182,Permanent,"Pharmaceutical, Healthcare and Medical Sales"
Id-183,Permanent,Data Management and Statistics
Id-185,Contract/Interim,"Pharmaceutical, Healthcare and Medical Sales"
Id-189,Permanent,Clinical Research
Id-191,Permanent,Clinical Research
Id-192,Permanent,Regulatory Affairs
Id-193,Permanent,Manufacturing & Operations
Id-194,Permanent,Clinical Research
Id-197,Permanent,Quality-assurance
Id-198,Permanent,Science
Id-199,Permanent,Science
Id-200,Contract/Interim,Manufacturing & Operations
Id-203,Permanent,Pharmaceutical Marketing
Id-205,Contract/Interim,Quality-assurance
